表1-2-7 高級中等學校畢業生未升學未就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,比率,,,,,,,,,
,,,"畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,"其他
","畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,其他,
總　計,,,"255,319","11,638",497,"3,946","2,412","3,133",289,175,"1,186",100.00,4.56,0.19,1.55,0.94,1.23,0.11,0.07,0.46,
,新北市,,"28,661","1,092",31,322,221,317,34,23,144,100.00,3.81,0.11,1.12,0.77,1.11,0.12,0.08,0.50,
,臺北市,,"38,765","1,107",72,191,80,548,26,64,126,100.00,2.86,0.19,0.49,0.21,1.41,0.07,0.17,0.33,
,臺中市,,"33,532","1,001",33,245,205,387,21,19,91,100.00,2.99,0.10,0.73,0.61,1.15,0.06,0.06,0.27,
,臺南市,,"21,946","1,151",40,417,224,325,38,6,101,100.00,5.24,0.18,1.90,1.02,1.48,0.17,0.03,0.46,
,高雄市,,"30,949","1,850",90,693,387,443,43,20,174,100.00,5.98,0.29,2.24,1.25,1.43,0.14,0.06,0.56,
,宜蘭縣,,"4,510",193,4,59,21,74,5,10,20,100.00,4.28,0.09,1.31,0.47,1.64,0.11,0.22,0.44,
,桃園縣,,"24,271","1,156",47,343,387,195,27,11,146,100.00,4.76,0.19,1.41,1.59,0.80,0.11,0.05,0.60,
,新竹縣,,"4,682",157,7,77,38,21,3, -,11,100.00,3.35,0.15,1.64,0.81,0.45,0.06, -,0.23,
,苗栗縣,,"6,173",326,34,95,51,69,10,7,60,100.00,5.28,0.55,1.54,0.83,1.12,0.16,0.11,0.97,
,彰化縣,,"13,833",785,57,340,204,143,16,3,22,100.00,5.67,0.41,2.46,1.47,1.03,0.12,0.02,0.16,
,南投縣,,"5,140",272,17,72,90,46,8,1,38,100.00,5.29,0.33,1.40,1.75,0.89,0.16,0.02,0.74,
,雲林縣,,"7,374",328,5,156,33,96,7,1,30,100.00,4.45,0.07,2.12,0.45,1.30,0.09,0.01,0.41,
,嘉義縣,,"3,484",347,3,135,119,52,4,1,33,100.00,9.96,0.09,3.87,3.42,1.49,0.11,0.03,0.95,
,屏東縣,,"7,167",685,25,340,150,117,15, -,38,100.00,9.56,0.35,4.74,2.09,1.63,0.21, -,0.53,
,臺東縣,,"1,895",159,10,76,17,28,5,3,20,100.00,8.39,0.53,4.01,0.90,1.48,0.26,0.16,1.06,
,花蓮縣,,"3,852",206,6,78,36,56,7,1,22,100.00,5.35,0.16,2.02,0.93,1.45,0.18,0.03,0.57,
,澎湖縣,,800,62, -,8,11,13,5, -,25,100.00,7.75, -,1.00,1.38,1.63,0.63, -,3.13,
,基隆市,,"4,720",96, -,47,7,38, -,1,3,100.00,2.03, -,1.00,0.15,0.81, -,0.02,0.06,
,新竹市,,"6,113",179,7,57,16,52,11,2,34,100.00,2.93,0.11,0.93,0.26,0.85,0.18,0.03,0.56,
,嘉義市,,"6,707",424,9,163,110,111,3,2,26,100.00,6.32,0.13,2.43,1.64,1.65,0.04,0.03,0.39,
,金門縣,,637,57, -,32,5,2,1, -,17,100.00,8.95, -,5.02,0.78,0.31,0.16, -,2.67,
,連江縣,,108,5, -, -, -, -, -, -,5,100.00,4.63, -, -, -, -, -, -,4.63,
國立,,,"79,112","2,823",107,890,373,"1,134",59,24,236,100.00,3.57,0.14,1.12,0.47,1.43,0.07,0.03,0.30,
,新北市,,504,5, -,1, -,4, -, -, -,100.00,0.99, -,0.20, -,0.79, -, -, -,
,臺北市,,"1,355",42, -,6, -,32, -,1,3,100.00,3.10, -,0.44, -,2.36, -,0.07,0.22,
,臺中市,,"11,254",364,14,46,68,198,6,5,27,100.00,3.23,0.12,0.41,0.60,1.76,0.05,0.04,0.24,
,臺南市,,"10,825",400,20,144,36,176,13,3,8,100.00,3.70,0.18,1.33,0.33,1.63,0.12,0.03,0.07,
,高雄市,,"4,585",171,7,73,15,71, -, -,5,100.00,3.73,0.15,1.59,0.33,1.55, -, -,0.11,
,宜蘭縣,,"4,009",153,4,53,20,50,5,2,19,100.00,3.82,0.10,1.32,0.50,1.25,0.12,0.05,0.47,
,桃園縣,,"7,103",130, -,25,35,65,3,1,1,100.00,1.83, -,0.35,0.49,0.92,0.04,0.01,0.01,
,新竹縣,,"1,508",30, -,7,7,15, -, -,1,100.00,1.99, -,0.46,0.46,0.99, -, -,0.07,
,苗栗縣,,"3,168",76,3,12,12,45, -,2,2,100.00,2.40,0.09,0.38,0.38,1.42, -,0.06,0.06,
,彰化縣,,"8,191",236,14,69,33,103,2,2,13,100.00,2.88,0.17,0.84,0.40,1.26,0.02,0.02,0.16,
,南投縣,,"3,621",135,17,27,13,34,6,1,37,100.00,3.73,0.47,0.75,0.36,0.94,0.17,0.03,1.02,
,雲林縣,,"3,657",159,2,72,17,45,3,1,19,100.00,4.35,0.05,1.97,0.46,1.23,0.08,0.03,0.52,
,嘉義縣,,"1,029",41,1,10,13,13,1, -,3,100.00,3.98,0.10,0.97,1.26,1.26,0.10, -,0.29,
,屏東縣,,"4,211",296,13,150,30,75,5, -,23,100.00,7.03,0.31,3.56,0.71,1.78,0.12, -,0.55,
,臺東縣,,"1,453",86,3,31,8,24,4,2,14,100.00,5.92,0.21,2.13,0.55,1.65,0.28,0.14,0.96,
,花蓮縣,,"2,193",134,4,60,20,37,4, -,9,100.00,6.11,0.18,2.74,0.91,1.69,0.18, -,0.41,
,澎湖縣,,800,62, -,8,11,13,5, -,25,100.00,7.75, -,1.00,1.38,1.63,0.63, -,3.13,
,基隆市,,"2,411",70, -,29,5,33, -,1,2,100.00,2.90, -,1.20,0.21,1.37, -,0.04,0.08,
,新竹市,,"2,707",35,1,4, -,28, -,2, -,100.00,1.29,0.04,0.15, -,1.03, -,0.07, -,
,嘉義市,,"3,783",136,4,31,25,71,1,1,3,100.00,3.60,0.11,0.82,0.66,1.88,0.03,0.03,0.08,
,金門縣,,637,57, -,32,5,2,1, -,17,100.00,8.95, -,5.02,0.78,0.31,0.16, -,2.67,
,連江縣,,108,5, -, -, -, -, -, -,5,100.00,4.63, -, -, -, -, -, -,4.63,
縣市立,,,"55,876","1,423",24,184,63,930,26,53,143,100.00,2.55,0.04,0.33,0.11,1.66,0.05,0.09,0.26,
,新北市,,"12,117",284,7,43,27,134,1,4,68,100.00,2.34,0.06,0.35,0.22,1.11,0.01,0.03,0.56,
,臺北市,,"22,148",548,11,25,14,394,18,40,46,100.00,2.47,0.05,0.11,0.06,1.78,0.08,0.18,0.21,
,臺中市,,"2,873",55,2,10, -,43, -, -, -,100.00,1.91,0.07,0.35, -,1.50, -, -, -,
,臺南市,,598,7, -, -, -,7, -, -, -,100.00,1.17, -, -, -,1.17, -, -, -,
,高雄市,,"11,270",320,3,62,11,225,5,6,8,100.00,2.84,0.03,0.55,0.10,2.00,0.04,0.05,0.07,
,宜蘭縣,,88,15, -,5,1,6, -,2,1,100.00,17.05, -,5.68,1.14,6.82, -,2.27,1.14,
,桃園縣,,"2,947",75, -,8,6,53,1,1,6,100.00,2.54, -,0.27,0.20,1.80,0.03,0.03,0.20,
,新竹縣,,199,6,1,2, -,3, -, -, -,100.00,3.02,0.50,1.01, -,1.51, -, -, -,
,苗栗縣,,382,5, -,2, -,1, -, -,2,100.00,1.31, -,0.52, -,0.26, -, -,0.52,
,彰化縣,,605,12, -,2, -,9, -, -,1,100.00,1.98, -,0.33, -,1.49, -, -,0.17,
,南投縣,,268,11, -,1,1,8,1, -, -,100.00,4.10, -,0.37,0.37,2.99,0.37, -, -,
,雲林縣,,381,7, -,4,1,2, -, -, -,100.00,1.84, -,1.05,0.26,0.52, -, -, -,
,嘉義縣,,187,14, -, -,1,13, -, -, -,100.00,7.49, -, -,0.53,6.95, -, -, -,
,屏東縣,,568,37, -,10,1,22, -, -,4,100.00,6.51, -,1.76,0.18,3.87, -, -,0.70,
,臺東縣,,14,5, -,2, -, -, -, -,3,100.00,35.71, -,14.29, -, -, -, -,21.43,
,花蓮縣,,43,4, -, -, -, -, -, -,4,100.00,9.30, -, -, -, -, -, -,9.30,
,澎湖縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,基隆市,,371,6, -,4, -,2, -, -, -,100.00,1.62, -,1.08, -,0.54, -, -, -,
,新竹市,,817,12, -,4, -,8, -, -, -,100.00,1.47, -,0.49, -,0.98, -, -, -,
,嘉義市,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,金門縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,連江縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
私立,,,"120,331","7,392",366,"2,872","1,976","1,069",204,98,807,100.00,6.14,0.30,2.39,1.64,0.89,0.17,0.08,0.67,
,新北市,,"16,040",803,24,278,194,179,33,19,76,100.00,5.01,0.15,1.73,1.21,1.12,0.21,0.12,0.47,
,臺北市,,"15,262",517,61,160,66,122,8,23,77,100.00,3.39,0.40,1.05,0.43,0.80,0.05,0.15,0.50,
,臺中市,,"19,405",582,17,189,137,146,15,14,64,100.00,3.00,0.09,0.97,0.71,0.75,0.08,0.07,0.33,
,臺南市,,"10,523",744,20,273,188,142,25,3,93,100.00,7.07,0.19,2.59,1.79,1.35,0.24,0.03,0.88,
,高雄市,,"15,094","1,359",80,558,361,147,38,14,161,100.00,9.00,0.53,3.70,2.39,0.97,0.25,0.09,1.07,
,宜蘭縣,,413,25, -,1, -,18, -,6, -,100.00,6.05, -,0.24, -,4.36, -,1.45, -,
,桃園縣,,"14,221",951,47,310,346,77,23,9,139,100.00,6.69,0.33,2.18,2.43,0.54,0.16,0.06,0.98,
,新竹縣,,"2,975",121,6,68,31,3,3, -,10,100.00,4.07,0.20,2.29,1.04,0.10,0.10, -,0.34,
,苗栗縣,,"2,623",245,31,81,39,23,10,5,56,100.00,9.34,1.18,3.09,1.49,0.88,0.38,0.19,2.13,
,彰化縣,,"5,037",537,43,269,171,31,14,1,8,100.00,10.66,0.85,5.34,3.39,0.62,0.28,0.02,0.16,
,南投縣,,"1,251",126, -,44,76,4,1, -,1,100.00,10.07, -,3.52,6.08,0.32,0.08, -,0.08,
,雲林縣,,"3,336",162,3,80,15,49,4, -,11,100.00,4.86,0.09,2.40,0.45,1.47,0.12, -,0.33,
,嘉義縣,,"2,268",292,2,125,105,26,3,1,30,100.00,12.87,0.09,5.51,4.63,1.15,0.13,0.04,1.32,
,屏東縣,,"2,388",352,12,180,119,20,10, -,11,100.00,14.74,0.50,7.54,4.98,0.84,0.42, -,0.46,
,臺東縣,,428,68,7,43,9,4,1,1,3,100.00,15.89,1.64,10.05,2.10,0.93,0.23,0.23,0.70,
,花蓮縣,,"1,616",68,2,18,16,19,3,1,9,100.00,4.21,0.12,1.11,0.99,1.18,0.19,0.06,0.56,
,澎湖縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,基隆市,,"1,938",20, -,14,2,3, -, -,1,100.00,1.03, -,0.72,0.10,0.15, -, -,0.05,
,新竹市,,"2,589",132,6,49,16,16,11, -,34,100.00,5.10,0.23,1.89,0.62,0.62,0.42, -,1.31,
,嘉義市,,"2,924",288,5,132,85,40,2,1,23,100.00,9.85,0.17,4.51,2.91,1.37,0.07,0.03,0.79,
,金門縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,連江縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,,,,,,,,,,,,,,,,,,,,
說明：,,"1. 本表依高中職應屆畢業生升學就業概況調查資料計算。
2. 本表含特教學校附設普通科、實用技能學程及大專校院附設職業類科畢業生資料，不含進修部資料。",,,,,,,,,,,,,,,,,,,
