,,,畢業生總計,已就業總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
國立,普通科,普通科,34267,185,1,0,8,0,0,4,13,1,28,2,0,0,1,7,99,1,0,4,16
國立,職業科,機械群,4502,249,7,1,92,0,0,16,7,5,16,2,0,0,13,12,36,7,0,3,32
國立,職業科,動力機械群,1239,186,13,2,33,1,0,10,5,3,21,0,0,0,21,10,53,0,0,3,11
國立,職業科,電機與電子群,5195,250,13,2,41,11,1,8,14,3,26,5,0,0,11,11,62,0,1,3,38
國立,職業科,化工群,1268,37,1,0,6,0,0,1,0,0,10,2,0,0,4,0,9,0,1,0,3
國立,職業科,土木與建築群,1267,62,4,0,1,0,0,6,6,0,14,0,0,0,1,1,25,0,0,0,4
國立,職業科,商業與管理群,7990,223,5,2,7,2,0,3,13,1,57,4,2,1,6,5,39,0,2,23,51
國立,職業科,外語群,887,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0
國立,職業科,設計群,1193,37,0,0,2,0,0,3,5,0,9,2,0,0,3,0,4,1,0,1,7
國立,職業科,農業群,1803,225,31,0,12,0,0,5,11,4,41,2,0,0,8,13,64,0,2,8,24
國立,職業科,食品群,1297,117,2,2,6,3,0,5,14,0,27,2,0,0,6,1,30,0,1,0,18
國立,職業科,家政群,1414,93,4,0,9,0,0,0,4,0,30,0,0,0,0,0,6,1,1,7,31
國立,職業科,餐旅群,978,105,2,1,3,1,2,1,7,2,44,1,1,0,1,0,17,0,0,0,22
國立,職業科,水產群,305,62,2,0,6,2,1,2,6,1,6,0,0,0,3,3,7,0,2,0,21
國立,職業科,海事群,269,66,1,0,2,6,0,3,2,10,6,1,0,0,4,0,26,0,0,2,3
國立,職業科,藝術群,151,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,5
國立,職業科,綜合,879,537,22,4,83,4,1,9,65,7,143,0,1,0,21,62,0,1,7,9,98
國立,綜合高中,學術群,6293,57,0,0,1,0,0,2,3,0,11,1,0,0,0,0,10,0,0,5,24
國立,綜合高中,機械群,251,29,3,0,3,1,0,1,1,1,1,0,0,0,1,3,12,1,0,0,1
國立,綜合高中,動力機械群,31,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
國立,綜合高中,電機與電子群,396,16,0,0,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1
國立,綜合高中,化工群,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
國立,綜合高中,土木與建築群,215,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1
國立,綜合高中,商業與管理群,1672,115,1,1,9,1,0,9,12,2,13,1,0,0,1,4,47,0,1,5,8
國立,綜合高中,外語群,294,14,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,2,1
國立,綜合高中,設計群,390,14,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,1,4,0
國立,綜合高中,農業群,95,10,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3
國立,綜合高中,食品群,279,24,0,0,2,0,0,0,0,0,4,0,0,0,1,2,6,0,0,2,7
國立,綜合高中,家政群,108,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11
國立,綜合高中,餐旅群,566,74,1,1,0,2,0,1,6,0,29,0,0,0,1,1,11,0,0,6,15
國立,綜合高中,水產群,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
國立,綜合高中,海事群,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
國立,綜合高中,藝術群,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
國立,綜合高中,綜合,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,機械群,437,138,8,1,44,2,0,2,13,1,17,1,0,0,11,14,16,0,0,2,6
國立,實用技能學程,動力機械群,167,75,1,1,10,2,0,3,4,7,7,2,0,0,14,5,11,0,0,0,8
國立,實用技能學程,電機與電子群,762,262,30,19,75,12,1,9,7,10,30,5,0,0,12,0,16,0,1,5,30
國立,實用技能學程,土木與建築群,132,26,3,4,1,2,0,5,0,0,3,0,1,0,4,1,0,0,1,0,1
國立,實用技能學程,商業與管理群,677,199,3,0,19,3,0,6,25,6,28,3,1,0,23,2,25,1,6,16,32
國立,實用技能學程,設計群,167,48,0,0,5,0,0,1,9,1,13,0,0,0,3,0,1,0,2,0,13
國立,實用技能學程,農業群,181,33,9,0,1,1,0,0,3,1,10,0,1,0,1,2,1,1,0,1,1
國立,實用技能學程,食品群,285,79,2,0,19,1,0,1,3,1,40,1,0,0,2,1,1,0,0,1,6
國立,實用技能學程,餐旅群,423,125,3,0,5,1,0,4,6,6,59,0,1,1,1,2,11,1,0,5,19
國立,實用技能學程,水產群,35,7,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,海事群,62,12,3,0,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,美容造型群,152,49,0,0,2,2,0,0,4,6,7,0,0,0,12,0,0,1,1,3,11
縣市立,普通科,普通科,40753,274,5,0,10,4,0,8,13,3,31,3,0,1,8,2,99,5,3,25,54
縣市立,職業科,機械群,1852,49,0,0,10,0,0,0,2,0,12,0,0,0,7,6,1,0,1,3,7
縣市立,職業科,動力機械群,670,29,0,0,0,1,0,5,0,0,4,0,0,0,9,3,2,0,0,0,5
縣市立,職業科,電機與電子群,3001,32,0,0,2,0,0,1,0,0,7,0,3,0,9,3,1,0,0,0,6
縣市立,職業科,化工群,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,土木與建築群,448,9,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4
縣市立,職業科,商業與管理群,2566,22,1,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,1,4,6
縣市立,職業科,外語群,254,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
縣市立,職業科,設計群,1175,10,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,4,2
縣市立,職業科,農業群,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,食品群,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,家政群,142,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
縣市立,職業科,餐旅群,238,4,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
縣市立,職業科,藝術群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,綜合,265,173,1,0,18,0,0,0,11,9,44,0,1,0,2,15,0,0,1,1,70
縣市立,綜合高中,學術群,2409,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,7
縣市立,綜合高中,機械群,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
縣市立,綜合高中,化工群,82,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
縣市立,綜合高中,土木與建築群,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
縣市立,綜合高中,商業與管理群,544,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
縣市立,綜合高中,外語群,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,設計群,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,農業群,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,餐旅群,102,22,0,0,1,0,0,4,1,0,3,0,0,0,0,0,7,0,0,0,6
縣市立,實用技能學程,機械群,46,10,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,27,13,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,81,36,0,0,2,0,0,15,4,1,7,1,1,0,1,2,0,0,0,0,2
縣市立,實用技能學程,土木與建築群,37,15,0,0,0,0,0,3,1,0,5,2,0,0,1,0,0,0,0,0,3
縣市立,實用技能學程,商業與管理群,122,33,0,0,5,4,0,1,1,1,9,0,0,0,0,3,4,0,1,0,4
縣市立,實用技能學程,設計群,16,15,0,0,1,0,0,1,6,0,2,0,1,0,0,0,0,0,0,0,4
縣市立,實用技能學程,餐旅群,31,14,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,2,0
縣市立,實用技能學程,美容造型群,34,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1
私立,普通科,普通科,28518,170,6,1,14,1,0,7,6,2,25,2,0,0,0,6,37,1,0,22,40
私立,職業科,機械群,1739,184,4,0,97,2,0,9,16,5,12,0,0,0,14,0,4,0,1,2,18
私立,職業科,動力機械群,3972,1554,62,12,311,9,8,78,86,146,104,6,3,4,267,16,94,1,2,25,320
私立,職業科,電機與電子群,12542,1696,50,10,482,49,2,97,113,40,250,62,8,0,78,41,108,1,4,44,257
私立,職業科,土木與建築群,212,21,0,0,2,0,0,2,1,0,6,0,0,0,0,0,1,0,0,0,9
私立,職業科,商業與管理群,13321,1205,9,4,121,7,0,30,220,37,258,58,11,2,29,26,90,4,9,50,240
私立,職業科,外語群,5197,143,1,1,4,0,1,0,1,1,56,0,0,0,0,11,15,2,1,4,45
私立,職業科,設計群,6484,412,4,0,22,0,1,10,41,10,87,7,0,1,40,9,35,6,1,53,85
私立,職業科,家政群,6950,1822,28,3,44,4,1,3,77,9,198,19,4,4,517,32,33,12,18,114,702
私立,職業科,餐旅群,18903,4180,68,11,259,23,3,81,286,46,2403,19,15,3,96,70,126,6,18,143,504
私立,職業科,海事群,50,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,職業科,藝術群,2382,286,7,0,13,0,0,7,26,3,68,0,3,0,1,7,7,1,1,79,63
私立,職業科,綜合,418,236,6,2,25,0,0,8,20,1,44,0,0,0,13,45,0,2,2,14,54
私立,綜合高中,學術群,2151,31,2,0,0,0,0,0,7,0,6,0,0,0,1,4,6,0,0,0,5
私立,綜合高中,機械群,71,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
私立,綜合高中,動力機械群,97,27,0,0,6,0,0,9,0,0,4,0,0,0,5,0,0,0,0,0,3
私立,綜合高中,電機與電子群,1311,117,3,0,18,4,1,3,3,9,14,4,0,0,0,2,39,0,0,3,14
私立,綜合高中,化工群,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,2623,101,0,0,14,1,0,0,5,3,23,5,0,0,1,3,22,0,0,10,14
私立,綜合高中,外語群,1243,24,0,0,2,0,0,0,1,0,4,1,1,1,0,4,6,1,1,1,1
私立,綜合高中,設計群,794,16,0,0,3,1,0,0,3,0,3,0,0,0,0,2,1,0,0,1,2
私立,綜合高中,家政群,609,51,1,0,4,0,0,0,0,2,13,0,0,0,8,5,5,3,0,6,4
私立,綜合高中,餐旅群,1570,176,1,0,8,0,0,1,4,1,82,0,0,0,1,4,39,0,0,16,19
私立,綜合高中,藝術群,18,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,1,0
私立,綜合高中,綜合,278,25,0,0,1,0,0,0,2,0,12,0,0,0,0,3,1,1,0,0,5
私立,實用技能學程,機械群,79,45,1,0,20,0,0,1,5,0,6,6,0,0,2,2,0,0,0,0,2
私立,實用技能學程,動力機械群,1140,629,28,4,113,4,2,37,37,56,52,4,0,0,127,9,15,1,1,26,113
私立,實用技能學程,電機與電子群,643,175,14,4,65,5,0,11,14,2,15,1,0,0,3,4,20,0,0,1,16
私立,實用技能學程,土木與建築群,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
私立,實用技能學程,商業與管理群,1357,428,3,0,42,7,3,8,81,16,74,43,3,1,15,20,12,2,7,12,79
私立,實用技能學程,設計群,96,29,0,0,2,1,0,3,3,0,10,0,0,1,3,0,0,0,0,0,6
私立,實用技能學程,食品群,140,40,0,0,9,1,0,2,2,1,19,0,0,1,0,0,0,0,0,0,5
私立,實用技能學程,餐旅群,3719,1544,30,0,138,15,3,54,118,35,750,6,9,2,30,29,31,1,2,71,220
私立,實用技能學程,美容造型群,1517,757,1,0,45,3,0,4,33,11,112,8,3,0,216,21,13,1,0,57,229
